ACCNUM
1552314_a_at	NM_172098
1555100_at	BC030711
1555808_a_at	BC001962
1568768_s_at	AW080339
201241_at	NM_004939
201964_at	N64643
202266_at	NM_016614
202905_x_at	AI796269
202906_s_at	AF049895
202907_s_at	NM_002485
203160_s_at	AK022075
203161_s_at	NM_003958
205071_x_at	AB017445
205436_s_at	NM_002105
206379_at	NM_001990
206689_x_at	NM_006388
207746_at	NM_014125
208368_s_at	NM_000059
211851_x_at	AF005068
212524_x_at	BE901081
212525_s_at	AA760862
213344_s_at	H51429
214727_at	X95152
217299_s_at	AK001017
219715_s_at	NM_018319
220746_s_at	NM_016290
221703_at	AF360549
222147_s_at	AL133519
222658_s_at	BC001628
223220_s_at	AF307338
223234_at	AF080398
224753_at	BE614410
225357_s_at	AI659419
226044_at	AK023514
227543_at	AI990526
229356_x_at	AK002176
231913_s_at	X64643
240822_at	AI932361
241379_at	W32922
241526_at	AA677086
242451_x_at	BF589630
