UniProtKB:Q7L5A8	FA2H	fatty acid hydroxylase pthr12863
UniProtKB:O95864	FADS2	fatty acid desaturase 2 pthr19353
UniProtKB:P05413	FABP3	fatty acid binding protein pthr11955
UniProtKB:E9PKP8	FADS3	
UniProtKB:Q8N9I5	FADS6	
UniProtKB:A0A0A0MR51	FADS1	
UniProtKB:O60427	FADS1	
UniProtKB:A0A0U1RQF0	FASN	
UniProtKB:Q96IV6	FAXDC2	sterol desaturase pthr11863
UniProtKB:P51648	ALDH3A2	aldehyde dehydrogenase-related pthr11699
UniProtKB:A8MWK0	FADS2P1	
UniProtKB:Q08477	CYP4F3	family not named pthr24290
UniProtKB:Q9UJM8	HAO1	(s)-2-hydroxy-acid oxidase-related pthr10578
UniProtKB:Q9NYQ3	HAO2	(s)-2-hydroxy-acid oxidase-related pthr10578
UniProtKB:Q8IXQ9	ETFBKMT	methyltransferase pthr18895
UniProtKB:Q9UBJ2	ABCD2	atp-binding cassette, sub-family d member pthr11384
UniProtKB:Q8NCG7	DAGLB	cgi-141-related/lipase containing protein pthr21493
UniProtKB:Q6JQN1	ACAD10	electron transport oxidoreductase pthr10909
UniProtKB:Q9UHK6	AMACR	alpha methylacyl-coa racemase pthr11837
UniProtKB:P38117	ETFB	electron transfer flavoprotein beta-subunit pthr21294
UniProtKB:Q9NUZ1	ACOXL	electron transport oxidoreductase pthr10909
UniProtKB:O15254	ACOX3	electron transport oxidoreductase pthr10909
UniProtKB:P43155	CRAT	carnitine o-acyltransferase pthr22589
UniProtKB:A8MXV4	NUDT19	testosterone-regulated protein rp2 pthr12318
UniProtKB:P09110	ACAA1	acetyl-coa c-acyltransferase pthr18919
UniProtKB:P16219	ACADS	electron transport oxidoreductase pthr10909
UniProtKB:Q15067	ACOX1	electron transport oxidoreductase pthr10909
UniProtKB:Q2T9J0	TYSND1	serine protease-related pthr21004
UniProtKB:P51659	HSD17B4	family not named pthr24316
UniProtKB:O14975	SLC27A2	family not named pthr24096
UniProtKB:Q92947	GCDH	electron transport oxidoreductase pthr10909
UniProtKB:P26440	IVD	electron transport oxidoreductase pthr10909
UniProtKB:Q9UKU7	ACAD8	electron transport oxidoreductase pthr10909
UniProtKB:P45954	ACADSB	electron transport oxidoreductase pthr10909
UniProtKB:P13804	ETFA	electron transport oxidoreductase pthr10909
UniProtKB:Q709F0	ACAD11	electron transport oxidoreductase pthr10909
UniProtKB:P33897	ABCD1	atp-binding cassette, sub-family d member pthr11384
UniProtKB:P55084	HADHB	acetyl-coa c-acyltransferase pthr18919
UniProtKB:Q92523	CPT1B	carnitine o-acyltransferase pthr22589
UniProtKB:P05166	PCCB	acetyl, propionyl, pyruvate, and glutaconyl carboxylase-related pthr22855
UniProtKB:Q99424	ACOX2	electron transport oxidoreductase pthr10909
UniProtKB:P49748	ACADVL	electron transport oxidoreductase pthr10909
UniProtKB:P28288	ABCD3	atp-binding cassette, sub-family d member pthr11384
UniProtKB:P28330	ACADL	electron transport oxidoreductase pthr10909
UniProtKB:C9JVW9	PCCB	
UniProtKB:H7C5C9	PCCB	
UniProtKB:Q08426	EHHADH	3-hydroxyacyl-coa dehyrogenase pthr23309
UniProtKB:P11310	ACADM	electron transport oxidoreductase pthr10909
UniProtKB:Q16836	HADH	3-hydroxyacyl-coa dehyrogenase pthr23309
UniProtKB:P30084	ECHS1	enoyl-coa hydratase-related pthr11941
UniProtKB:P42126	ECI1	enoyl-coa hydratase-related pthr11941
UniProtKB:K7ENF1	ACOX1	
UniProtKB:H7C4Q2	ACOX2	
UniProtKB:K7ESC7	ACOX1	
UniProtKB:A0A0C4DG10	ACOXL	
UniProtKB:P0C869	PLA2G4B	cytosolic phospholipase a2 pthr10728
UniProtKB:Q86WA8	LONP2	atp dependent lon protease family member pthr10046
UniProtKB:O43741	PRKAB2	5'-amp-activated protein kinase , beta subunit pthr10343
UniProtKB:P50416	CPT1A	carnitine o-acyltransferase pthr22589
UniProtKB:Q9UKG9	CROT	carnitine o-acyltransferase pthr22589
UniProtKB:P62873	GNB1	guanine nucleotide-binding protein beta (g protein beta) pthr19850
UniProtKB:O14734	ACOT8	acyl-coa thioesterase pthr11066
UniProtKB:Q9H845	ACAD9	electron transport oxidoreductase pthr10909
UniProtKB:P31751	AKT2	akt-related serine/threonine-protein kinase pthr24352
UniProtKB:P55055	NR1H2	nuclear hormone receptor pthr24082
UniProtKB:Q16134	ETFDH	electron transfer flavoprotein-ubiquinone oxidoreductase pthr10617
UniProtKB:A6NEP8	ABCD1	
UniProtKB:Q00G26	PLIN5	adipophilin/perilipin pthr14024
UniProtKB:P40939	HADHA	3-hydroxyacyl-coa dehyrogenase pthr23309
UniProtKB:Q16698	DECR1	family not named pthr24315
UniProtKB:P24557	TBXAS1	
UniProtKB:Q6ZYK7	COX-2	
UniProtKB:A0A087X296	PTGS1	
UniProtKB:X6RJD6	PTGS1	
UniProtKB:B4E0T2	PEX5	
UniProtKB:P20853	CYP2A7	family not named pthr24300
UniProtKB:P01584	IL1B	interleukin-1 family member pthr10078
UniProtKB:Q7Z449	CYP2U1	family not named pthr24300
